P20	col	row	globalx	globaly	frac	rawBA	BA	gallperlf	stemdens	maxdbh	ageest	spp	middens	middenslt20		ElevPost
I12	I	12	160	100	35	0.602855137	43.0610812	NA	25	36.7	100.4846	5	5	3		4.564
I2	I	2	160	300	100	0.815633636	20.39084091	0.156593683	17	39.3	107.6034	4	2	1		50.367
I3	I	3	160	280	100	0.711207882	17.78019705	0.218621964	12	40	109.52	2	0	0		51.078
I4	I	4	160	260	100	1.183247886	29.58119716	0.449247226	19	46.6	127.5908	2	0	0		51.063
I5	I	5	160	240	100	0.705023657	17.62559142	0.597865673	13	42.2	115.5436	1	0	0		51.513
I6	I	6	160	220	100	0.790427853	19.76069633	0.406868106	18	37.7	103.2226	2	0	0		49.374
I7	I	7	160	200	100	0.896689869	22.41724671	0.210553737	11	41.5	113.627	1	0	0		44.695
I8	I	8	160	180	100	1.092255582	27.30638955	0.403618481	13	50.7	138.8166	3	2	0		30.586
I9	I	9	160	160	100	0.692249941	17.30624853	0.444976189	17	41.2	112.8056	3	0	0		34.301
J0	J	0	180	340	100	0.878977569	21.97443923	NA	22	41.1	112.5318	3	0	0		43.6
J1	J	1	180	320	100	0.760899238	19.02248096	0.190786269	12	41.8	114.4484	3	1	1		47.692
J10	J	10	180	140	100	1.24277714	31.0694285	1.510574691	26	63.2	173.0416	7	7	2		19.3
J11	J	11	180	120	100	1.31379834	32.84495849	NA	34	44.1	120.7458	9	7	3		11.97
J12	J	12	180	100	80	1.149872391	35.93351223	NA	27	67.4	184.5412	8	8	4		5.253
J2	J	2	180	300	100	1.186725629	29.66814073	0.113246593	26	42	114.996	3	1	1		50.231
J3	J	3	180	280	100	0.801722664	20.04306661	0.163495849	16	48.2	131.9716	2	0	0		50.625
J4	J	4	180	260	100	0.830509078	20.76272694	0.419851353	13	42.3	115.8174	2	0	0		51.201
J5	J	5	180	240	100	0.956911844	23.92279609	0.461375819	14	42	114.996	1	0	0		41.874
J6	J	6	180	220	100	1.189462742	29.73656855	0.230091142	24	41.3	113.0794	2	0	0		39.18
J7	J	7	180	200	100	0.704544564	17.6136141	0.323572062	16	38.5	105.413	1	0	0		36.483
J8	J	8	180	180	100	0.656471913	16.41179783	0.473422634	18	36.5	99.937	3	1	1		32.127
J9	J	9	180	160	100	1.003147448	25.0786862	0.474286195	29	37.9	103.7702	6	13	2		26.721
K0	K	0	200	340	100	0.890257458	22.25643644	NA	16	52.5	143.745	2	0	0		38.525
K1	K	1	200	320	100	0.955577452	23.8894363	0.113091108	14	69.7	190.8386	2	1	1		44.931
K10	K	10	200	140	100	0.818596944	20.46492359	0.932716611	25	35.5	97.199	6	4	1		18.728
K11	K	11	200	120	100	1.224680781	30.61701952	NA	35	54.4	148.9472	7	8	0		11.495
K12	K	12	200	100	50	0.66407928	33.20396399	NA	18	46.9	128.4122	6	5	2		4.417
K2	K	2	200	300	100	0.603905214	15.09763036	0.116778378	16	45.7	125.1266	1	0	0		48.398
K3	K	3	200	280	100	1.314453362	32.86133405	0.159617879	18	48.8	133.6144	1	0	0		48.582
K4	K	4	200	260	100	0.718731996	17.96829991	0.104401212	18	40.3	110.3414	1	0	0		48.924
K5	K	5	200	240	100	0.501975455	12.54938638	0.146895328	14	43.9	120.1982	3	0	0		40.786
K6	K	6	200	220	100	0.946008161	23.65020402	0.207653465	23	42.4	116.0912	3	1	0		39.102
K7	K	7	200	200	100	0.962135527	24.05338817	0.338523286	18	64.9	177.6962	3	8	1		37.264
K8	K	8	200	180	100	1.205436955	30.13592388	0.700795412	14	55.2	151.1376	4	8	0		32.092
K9	K	9	200	160	100	0.821455008	20.53637519	0.583631724	18	38.4	105.1392	6	10	4		26.303
L0	L	0	220	340	100	0.564148359	14.10370898	NA	17	37.7	103.2226	4	1	1		41.072
L1	L	1	220	320	100	0.69989108	17.497277	0.031612917	17	44.4	121.5672	4	2	2		39.884
L10	L	10	220	140	100	1.187257344	29.6814336	1.829311714	23	39.6	108.4248	9	7	0		15.623
L11	L	11	220	120	100	1.684781162	42.11952906	NA	40	66.3	181.5294	9	11	3		9.845
L12	L	12	220	100	10	0.497476694	124.3691736	NA	7	51.4	140.7332	2	0	0		3.514
L2	L	2	220	300	100	0.660839512	16.52098781	0.07745913	10	47	128.686	1	0	0		41.625
L3	L	3	220	280	100	0.882698786	22.06746964	0.109816208	11	51.5	141.007	1	0	0		43.616
L4	L	4	220	260	100	0.930416436	23.26041091	0.050630925	16	47.4	129.7812	3	2	2		46.291
L5	L	5	220	240	100	0.772742257	19.31855643	0.147093198	17	41.1	112.5318	3	2	2		39.487
L6	L	6	220	220	100	0.876417171	21.91042928	0.376325632	19	41.7	114.1746	3	1	0		38.403
L7	L	7	220	200	100	0.978174928	24.4543732	0.428370172	22	57.5	157.435	4	3	0		35.986
L8	L	8	220	180	100	1.135466618	28.38666545	0.622968177	11	57.6	157.7088	5	4	0		31.695
L9	L	9	220	160	100	0.807453715	20.18634287	0.539547408	21	37.5	102.675	4	4	1		25.55
M0	M	0	240	340	100	1.101842937	27.54607344	NA	21	60.7	166.1966	3	2	1		37.189
M1	M	1	240	320	100	0.734709351	18.36773378	0.052160463	19	55.9	153.0542	4	2	0		36.649
M10	M	10	240	140	100	1.407526971	35.18817428	1.767945774	17	53.4	146.2092	4	3	2		14.378
M11	M	11	240	120	100	1.219341644	30.48354111	NA	34	46.6	127.5908	5	8	2		8.294
M12	M	12	240	100	12	0.071815237	14.96150776	NA	5	17.8	48.7364	4	1	1		2.019
M2	M	2	240	300	100	0.756607038	18.91517594	0.036607956	14	45.2	123.7576	1	0	0		38.21
M3	M	3	240	280	100	0.847326809	21.18317021	0.067542689	14	53	145.114	2	0	0		34.274
M4	M	4	240	260	100	0.542440739	13.56101848	0.083651641	9	51	139.638	2	0	0		35.746
M5	M	5	240	240	100	0.93979252	23.49481299	0.235901488	17	57.3	156.8874	2	0	0		38.624
M6	M	6	240	220	100	1.035978662	25.89946655	0.452103687	17	49	134.162	4	5	1		36.882
M7	M	7	240	200	100	0.766805433	19.17013582	0.355350632	12	42.2	115.5436	2	1	1		34.548
M8	M	8	240	180	100	0.796348185	19.90870461	0.275129075	17	39.9	109.2462	3	4	4		30.319
M9	M	9	240	160	100	1.279790599	31.99476498	0.582709645	17	49.4	135.2572	5	4	1		22.63
N0	N	0	260	340	100	0.516743297	12.91858242	NA	18	43.1	118.0078	3	3	3		30.009
N1	N	1	260	320	100	0.570284675	14.25711688	0.035368042	11	40.7	111.4366	3	1	1		29.589
N10	N	10	260	140	100	0.994995015	24.87487538	1.214873551	24	37.9	103.7702	8	7	0		16.384
N11	N	11	260	120	100	0.864712382	21.61780956	NA	25	42.6	116.6388	8	10	4		11.547
N12	N	12	260	100	75	1.132287326	37.74291088	NA	31	51.8	141.8284	7	3	2		4.403
N13	N	13	260	80	20	0.901380266	112.6725333	NA	12	44.8	122.6624	4	1	1		0
N2	N	2	260	300	100	1.196333405	29.90833513	0.139080663	19	66.4	181.8032	2	0	0		34.122
N3	N	3	260	280	100	0.920892698	23.02231746	0.326613445	10	53.2	145.6616	2	0	0		31.96
N4	N	4	260	260	100	1.164506715	29.11266788	0.328929777	15	61.4	168.1132	4	0	0		32.949
N5	N	5	260	240	100	0.603397847	15.08494617	0.269590468	11	45.2	123.7576	2	0	0		33.958
N6	N	6	260	220	100	0.736953234	18.42383085	0.250317426	19	38	104.044	3	0	0		35.619
N7	N	7	260	200	100	1.088063127	27.20157817	0.203817732	21	42.2	115.5436	3	2	2		34.46
N8	N	8	260	180	100	0.819346214	20.48365534	0.256425723	13	46	125.948	5	3	2		31.732
N9	N	9	260	160	100	0.601633057	15.04082643	0.66550925	18	48.8	133.6144	3	0	0		22.933
O0	O	0	280	340	100	1.003501663	25.08754156	NA	11	51.1	139.9118	2	0	0		28.29
O1	O	1	280	320	100	0.419646878	10.49117195	0.170921491	15	43.5	119.103	4	2	1		26.745
O10	O	10	280	140	100	0.817313603	20.43284008	0.799380706	25	38.4	105.1392	6	5	0		19.656
O11	O	11	280	120	100	1.081216025	27.03040064	NA	33	43.5	119.103	7	5	2		12.965
O12	O	12	280	100	100	1.716270916	42.90677291	NA	36	54.8	150.0424	4	8	2		8.584
O13	O	13	280	80	100	1.3475092	33.68772999	NA	24	56.2	153.8756	6	6	4		6.947
O14	O	14	280	60	25	0.424008979	42.40089795	NA	14	38.3	104.8654	4	0	0		0
O2	O	2	280	300	100	0.93519637	23.37990924	0.232563119	17	46	125.948	3	0	0		30.609
O3	O	3	280	280	100	1.15129082	28.78227051	0.388881942	14	57.1	156.3398	2	1	1		26.885
O4	O	4	280	260	100	0.439912507	10.99781267	0.386844279	15	28.7	78.5806	4	3	3		20.859
O5	O	5	280	240	100	0.634703818	15.86759544	0.267239207	10	57.6	157.7088	3	1	1		30.788
O6	O	6	280	220	100	0.973921997	24.34804992	0.189435723	14	49.6	135.8048	2	0	0		30.856
O7	O	7	280	200	100	0.811509511	20.28773777	0.274698249	15	41.4	113.3532	3	3	3		32.95
O8	O	8	280	180	100	1.102973125	27.57432813	0.373145033	11	59.5	162.911	5	4	0		31.814
O9	O	9	280	160	100	0.854992295	21.37480737	0.514461298	19	52.5	143.745	5	1	0		26.311
P0	P	0	300	340	100	0.592295459	14.80738646	NA	11	41.3	113.0794	3	1	1		18.354
P1	P	1	300	320	100	1.114919031	27.87297579	0.163690181	16	69.2	189.4696	4	1	0		16.034
P10	P	10	300	140	100	1.064031514	26.60078784	0.667640169	26	39.6	108.4248	6	6	0		22.097
P11	P	11	300	120	100	0.95135201	23.78380025	NA	40	29.1	79.6758	4	2	0		16.298
P12	P	12	300	100	100	1.490716345	37.26790862	NA	24	64.4	176.3272	7	5	1		12.718
P13	P	13	300	80	100	1.544886041	38.62215103	NA	34	49.1	134.4358	7	11	4		8.827
P14	P	14	300	60	100	1.265499494	31.63748736	NA	35	48.6	133.0668	6	3	1		4.279
P15	P	15	300	40	75	1.408381484	46.94604948	NA	44	41.5	113.627	5	3	2		1.416
P2	P	2	300	300	100	0.543583494	13.58958734	0.228883244	11	34.8	95.2824	3	0	0		21.546
P3	P	3	300	280	100	1.137800822	28.44502054	0.43073096	9	72.3	197.9574	1	0	0		25.424
P4	P	4	300	260	100	0.778244757	19.45611892	0.406576532	16	45.7	125.1266	3	1	1		27.659
P5	P	5	300	240	100	1.129498378	28.23745944	0.34625004	17	43.9	120.1982	3	1	1		29.877
P6	P	6	300	220	100	0.73477611	18.36940275	0.260412405	17	40.2	110.0676	1	0	0		30.639
P7	P	7	300	200	100	0.707378281	17.68445702	0.37660239	13	41.9	114.7222	1	0	0		30.32
P8	P	8	300	180	100	0.71920245	17.98006125	0.366483287	10	54	147.852	3	1	0		27.799
P9	P	9	300	160	100	1.129593411	28.23983527	0.317660111	26	38.9	106.5082	5	3	0		25.096
Q0	Q	0	320	340	100	0.83668859	20.91721476	NA	15	46.7	127.8646	3	0	0		19.175
Q1	Q	1	320	320	100	1.281256152	32.03140381	0.100027144	14	73.9	202.3382	4	2	0		15.375
Q10	Q	10	320	140	100	0.79722626	19.93065649	0.391291716	20	37.5	102.675	6	2	0		18.687
Q11	Q	11	320	120	100	1.044024281	26.10060702	NA	30	32.3	88.4374	5	1	0		15.956
Q12	Q	12	320	100	100	0.902824614	22.57061534	NA	33	30.7	84.0566	5	1	0		12.976
Q13	Q	13	320	80	100	0.974781223	24.36953056	NA	26	51.3	140.4594	7	4	2		9.429
Q14	Q	14	320	60	100	1.065196259	26.62990648	NA	23	53.5	146.483	6	7	3		6.529
Q15	Q	15	320	40	98	1.858900008	47.42091857	NA	36	42.4	116.0912	3	1	0		4.834
Q16	Q	16	320	20	55	0.363382524	16.51738748	NA	11	35	95.83	3	1	0		0
Q17	Q	17	320	0	2	0.016286016	20.3575204	NA	1	14.4	39.4272	1	0	0		0
Q2	Q	2	320	300	100	0.945276955	23.63192388	0.248803629	14	55.7	152.5066	4	1	0		22.268
Q3	Q	3	320	280	100	0.952292132	23.80730329	0.430450658	18	48.5	132.793	3	0	0		26.719
Q4	Q	4	320	260	100	0.788666205	19.71665513	0.365833012	15	39	106.782	2	0	0		23.539
Q5	Q	5	320	240	100	0.514303065	12.85757662	0.325613281	13	48.1	131.6978	3	0	0		27.812
Q6	Q	6	320	220	100	1.01113966	25.27849149	0.364727023	14	43.2	118.2816	3	0	0		29.176
Q7	Q	7	320	200	100	1.424189979	35.60474947	0.608298756	22	42.9	117.4602	1	0	0		27.706
Q8	Q	8	320	180	100	0.775477014	19.38692534	0.445063803	13	42.4	116.0912	2	1	0		25.079
Q9	Q	9	320	160	100	1.153669791	28.84174479	0.268545942	17	38.1	104.3178	3	0	0		22.542
R0	R	0	340	340	100	1.274543354	31.86358385	NA	12	63.6	174.1368	3	3	0		11.871
R1	R	1	340	320	100	0.903453718	22.58634294	0.208958641	13	49	134.162	3	1	0		10.64
R10	R	10	340	140	100	0.869389428	21.73473571	0.70894093	20	42.1	115.2698	4	1	0		18.147
R11	R	11	340	120	100	1.138700102	28.46750256	NA	29	33.7	92.2706	6	3	0		15.449
R12	R	12	340	100	100	0.773065056	19.3266264	NA	27	42.2	115.5436	5	2	1		14.245
R13	R	13	340	80	100	0.653802345	16.34505862	NA	29	31.8	87.0684	6	3	3		12.45
R14	R	14	340	60	100	1.413598099	35.33995247	NA	22	57.2	156.6136	6	9	5		9.396
R15	R	15	340	40	100	1.309867422	32.74668555	NA	25	46.2	126.4956	7	4	2		6.091
R16	R	16	340	20	85	1.023187668	30.09375493	NA	31	42.4	116.0912	7	8	6		4.997
R17	R	17	340	0	10	0.027464588	6.866147094	NA	1	18.7	51.2006	1	0	0		0
R2	R	2	340	300	100	0.656299126	16.40747814	0.40574176	9	49.5	135.531	1	0	0		18.049
R3	R	3	340	280	100	0.804740949	20.11852373	0.474370054	9	54.1	148.1258	2	0	0		22.727
R4	R	4	340	260	100	1.690583684	42.2645921	0.340979357	18	60	164.28	4	1	1		19.974
R5	R	5	340	240	100	1.397467592	34.93668979	0.256213917	13	95.6	261.7528	1	0	0		26.766
R6	R	6	340	220	100	0.928159988	23.20399969	0.282226748	12	60.9	166.7442	2	0	0		25.92
R7	R	7	340	200	100	0.753927259	18.84818147	0.546762615	11	45.3	124.0314	2	1	0		24.955
R8	R	8	340	180	100	0.845737948	21.1434487	0.499322467	14	38.9	106.5082	2	0	0		22.771
R9	R	9	340	160	100	1.018918243	25.47295608	0.5955061	17	39.2	107.3296	2	0	0		21.243
S0	S	0	360	340	100	0.759102247	18.97755619	NA	13	47.5	130.055	5	1	0		6.446
S1	S	1	360	320	100	0.171688039	4.292200963	0.248319689	12	19.8	54.2124	4	1	1		5.658
S10	S	10	360	140	100	1.137212558	28.43031396	0.589391679	16	54.5	149.221	3	0	0		16.557
S11	S	11	360	120	100	0.703552606	17.58881515	NA	15	39.4	107.8772	3	3	0		15.552
S12	S	12	360	100	100	0.393699679	9.842491974	NA	16	27	73.926	5	2	2		16.022
S13	S	13	360	80	100	0.890244106	22.25610265	NA	25	51.4	140.7332	9	4	1		13.261
S14	S	14	360	60	100	1.056612643	26.41531606	NA	15	59.2	162.0896	7	5	2		8.702
S15	S	15	360	40	100	0.920087665	23.00219163	NA	36	41.3	113.0794	5	6	1		4.282
S16	S	16	360	20	80	0.810047885	25.3139964	NA	35	31.9	87.3422	7	17	11		2.323
S2	S	2	360	300	100	0.998113046	24.95282614	0.34766309	10	63.2	173.0416	3	0	0		8.887
S3	S	3	360	280	100	1.36675224	34.168806	0.559463635	12	67.4	184.5412	3	1	0		13.342
S4	S	4	360	260	100	0.55856732	13.964183	0.576515104	8	53.6	146.7568	2	0	0		15.676
S5	S	5	360	240	100	0.919658838	22.99147095	0.324495214	13	54.6	149.4948	3	0	0		21.645
S6	S	6	360	220	100	0.722711609	18.06779022	0.153981286	11	56.2	153.8756	3	0	0		22.094
S7	S	7	360	200	100	1.314710972	32.86777431	0.158258203	16	74	202.612	3	0	0		21.437
S8	S	8	360	180	100	0.978146654	24.45366634	0.171337491	18	39.7	108.6986	3	1	0		20.191
